class	field	offset
DreadlockSet	m_worldOriented	0x48
DreadlockSet	m_waterSurface	0x49
DreadlockSet	m_visibilityRadius	0x50
DreadlockSet	m_renderLate	0x54
DummyTrackGroup	m_started	0x0
DummyTrackGroup	m_zNear	0x0
DummyTrackGroup	m_x	0x0
DummyTrackGroup	m_axes	0x0
DummyTrackGroup	m_min	0x0
DummyTrackGroup	m_pieces	0x0
DummyTrackGroup	m_zFar	0x4
DummyTrackGroup	m_fovRad	0x8
DummyTrackGroup	m_dir	0xC
DummyTrackGroup	m_viewToWorld	0xC
DummyTrackGroup	m_y	0xC
DummyTrackGroup	m_max	0xC
DummyTrackGroup	m_bbox	0xC
DummyTrackGroup	m_z	0x18
DummyTrackGroup	m_center	0x24
DummyTrackGroup	m_radii	0x30
DummyTrackGroup	m_worldToView	0x3C
DummyTrackGroup	m_tanHalfFov	0x6C
EffectLocation	m_spawnAtStartup	0x60
EffectLocation	m_preferenceFile	0x64
EffectMix	m_effectName	0xC
EffectMix	m_timeOffset	0x14
EffectMix	m_effects	0x58
EffectParticleSystem	m_amplitude1	0x58
EffectParticleSystem	m_amplitude2	0x5C
EffectParticleSystem	m_amplitude3	0x60
EffectParticleSystem	m_frequency1	0x64
EffectParticleSystem	m_frequency2	0x68
EffectParticleSystem	m_frequency3	0x6C
EffectParticleSystem	m_innerRadius	0x70
EffectParticleSystem	m_outerRadius	0x74
EffectParticleSystem	m_noCollideRadiusMin	0x78
EffectParticleSystem	m_noCollideRadiusMax	0x7C
EffectParticleSystem	m_curvature	0x80
EffectParticleSystem	m_tendrilDuration	0x88
EffectParticleSystem	m_tendrilAlphaThickness	0x8C
EffectParticleSystem	m_tendrilAdditiveThickness	0x90
EffectParticleSystem	m_tendrilGlareThickness	0x94
EffectParticleSystem	m_tendrilDistortionThickness	0x98
EffectParticleSystem	m_minRayCastAngle	0x9C
EffectParticleSystem	m_maxRayCastAngle	0xA0
EffectParticleSystem	m_textureScale	0xA4
EffectParticleSystem	m_tesselateCount	0xA8
EffectParticleSystem	m_additivePass	0xAC
EffectParticleSystem	m_alphaPass	0xAD
EffectParticleSystem	m_distortionPass	0xAE
EffectParticleSystem	m_glarePass	0xAF
EffectParticleSystem	m_grabBonesFromObject	0xB0
EffectParticleSystem	m_ignoreTargetBones	0xB1
EffectParticleSystem	m_alphaTextureName	0xB4
EffectParticleSystem	m_additiveTextureName	0xC4
EffectParticleSystem	m_groundEffectName	0xD4
EffectParticleSystem	m_airEffectName	0xDC
ExplosionPrefs	m_damageAtAreaEdgeMultiplier	0x18
ExplosionPrefs	m_damagePlayer	0x20
ExplosionPrefs	m_staminaPlayer	0x24
ExplosionPrefs	m_knockSpeed	0x2C
ExplosionPrefs	m_knockSpeedPlayer	0x30
ExplosionPrefs	m_knockKnocksDown	0x34
ExplosionPrefs	m_explodeDuration	0x38
ExplosionPrefs	m_effect	0x3C
ExplosionPrefs	m_rumble	0x40
ExplosionPrefs	m_rumbleDuration	0x44
ExplosionPrefs	m_cueExplode	0x48
ExplosionPrefs	m_eventRangeXY	0x4C
ExplosionPrefs	m_eventRangeTop	0x50
ExplosionPrefs	m_eventRangeBottom	0x54
ExplosionPrefs	m_knockFollowcamUsesFootZ	0x58
ExplosionPrefs	m_collide	0x59
ExplosivePrefs	m_boltEjectSpeed	0x64
ExplosivePrefs	m_destroyByPlayerShoot	0x68
ExplosivePrefs	m_destroyByNPCShoot	0x69
ExplosivePrefs	m_destroyByNPCExplosion	0x6A
ExplosivePrefs	m_aimCenterZOffset	0x6C
FixedCameraGenerator	m_fieldChart	0x68
FixedCameraGenerator	m_allowLook	0x70
FlowMarkerPrefs	m_targetMarkerCount	0x10
FlowMarkerPrefs	m_minDebrisSize	0x14
FlowMarkerPrefs	m_maxDebrisSize	0x18
FlowMarkerPrefs	m_minDistortionSize	0x1C
FlowMarkerPrefs	m_maxDistortionSize	0x20
FlowMarkerPrefs	m_debrisMarkersCount	0x24
FlowMarkerPrefs	m_distortionMarkersCount	0x28
FlowMarkerPrefs	m_distortionOpaqueSpeed	0x2C
FlowMarkerPrefs	m_startDistortionFade	0x30
FlowMarkerPrefs	m_endDistortionFade	0x34
FlowMarkerPrefs	m_currentCullDist	0x38
FlowMarkerPrefs	m_particleLifetime	0x3C
FlowMarkerPrefs	m_maxRotationalVelocity	0x40
FlowMarkerPrefs	m_maxVelocityForMaxSpin	0x44
FlowMarkerPrefs	m_flowMarkerTextureName	0x4C
FlowMarkerPrefs	m_initialAngle	0x74
FlowMarkerPrefs	m_angularVel	0x78
FlowMarkerPrefs	m_angularAccel	0x7C
FlowMarkerPrefs	m_startAlpha	0x80
FlowMarkerPrefs	m_midAlpha	0x84
FlowMarkerPrefs	m_axis	0x98
FlowMarkerPrefs	m_renderType	0xA4
ForceFieldInst	m_onOffFadeDuration	0x10
ForceFieldInst	m_doOnOffFlicker	0x14
ForceFieldInst	m_flickerSineFrequencyScale0	0x18
ForceFieldInst	m_flickerSineOffset0	0x1C
ForceFieldInst	m_flickerSineFrequencyScale1	0x20
ForceFieldInst	m_flickerSineOffset1	0x24
ForceFieldInst	m_flickerSineFrequencyScale2	0x28
ForceFieldInst	m_flickerSineOffset2	0x2C
ForceFieldInst	m_flickerThreshold	0x30
ForceFieldInst	m_forceFieldStartFade	0x34
ForceFieldInst	m_forceFieldEndFade	0x38
ForceFieldInst	m_forceFieldDistortionFresnelScale	0x3C
ForceFieldInst	m_forceFieldScrollVelocities	0x40
ForceFieldInst	m_numImpactRipplesMax	0x4C
ForceFieldInst	m_impactRippleAgeMax	0x50
ForceFieldInst	m_impactRippleSizeScale	0x54
ForceFieldInst	m_forceFieldGlowColor	0x58
ForceFieldInstPrefs	m_mat	0x0
ForceFieldInstPrefs	m_knots	0x4
ForceFieldInstPrefs	m_t	0x24
ForceFieldPrefs	m_forceFieldGeo	0x10
ForceFieldPrefs	m_boneToAttachTo	0x14
ForceFieldPrefs	m_forceFieldInstPrefsName	0x18
ForceFieldPrefs	m_xform	0x20
GPrefs	m_defaultLevelFile	0x10
GPrefs	m_realLevelName	0x14
GPrefs	m_user	0x18
GPrefs	m_onStartLoadLastSavegame	0x1C
GPrefs	m_skipShellGUI	0x1D
GPrefs	m_doInventoryGUI	0x1E
GPrefs	m_doPauseGUI	0x1F
GPrefs	m_doSaveLoadForDeath	0x20
GPrefs	m_allowCinematicsToBeSkippedFirstTime	0x21
GPrefs	m_numPlayers	0x24
GPrefs	m_numViewPanes	0x28
GPrefs	m_waitForTweakBeforeInitPeriod	0x2C
GPrefs	m_makeNPCs	0x30
GPrefs	m_startCines	0x31
GPrefs	m_effectsEnabled	0x32
GPrefs	m_boltsEnabled	0x33
GPrefs	m_musicEnabled	0x34
GPrefs	m_audioEnabled	0x35
GPrefs	m_audioVerbose	0x38
GPrefs	m_audioLogFile	0x3C
GPrefs	m_audioMasterVolume	0x40
GPrefs	m_audioMusicVolume	0x44
GPrefs	m_globalVoiceOverVolume	0x48
GPrefs	m_audioHeadphonesEnabled	0x4C
GPrefs	m_saveJournal	0x4D
GPrefs	m_loadJournal	0x4E
GPrefs	m_tryToStopJournal	0x4F
GPrefs	m_journalFile	0x50
GPrefs	m_hudEnabled	0x54
GPrefs	m_bootToLevelList	0x55
GPrefs	m_keyboardNotJournalled	0x56
GPrefs	m_rumbleEnabled	0x57
GPrefs	m_widescreen	0x58
GPrefs	m_fileToEcho	0x5C
GPrefs	m_cheatInvincible	0x60
GPrefs	m_profilerMode	0x61
GPrefs	m_logContent	0x62
GPrefs	m_logAI	0x63
GPrefs	m_logEnabled	0x64
GPrefs	m_logNoFileIO	0x65
GPrefs	m_warningsAreErrors	0x66
GPrefs	m_loadDebugGeo	0x67
GPrefs	m_camFlipFPSPitch	0x68
GPrefs	m_camFlipFollowPitch	0x69
GPrefs	m_camFlipFollowYaw	0x6A
GPrefs	m_pipeAutoAttach	0x6B
GPrefs	m_autoAimStrength	0x6C
GPrefs	m_hudTextColor	0x70
GPrefs	m_hudTextShadowColor	0x74
GPrefs	m_initialHudCategory	0x78
GPrefs	m_weaponCycleScheme	0x7C
GPrefs	m_playLoadingAnimation	0x80
GPrefs	m_doAudioIOThread	0x81
GPrefs	m_SWFNominalGlyphPixelSize	0x84
GPrefs	m_lipSyncEnabled	0x8C
GPrefs	m_isDVDRun	0x8D
GPrefs	m_I3DL2Enabled	0x8E
GameTagBase	m_prefsID	0x0
GameTagBase	m_spawnCount	0x4
GameTagBase	m_spawnRadius	0x8
GameTagBase	m_dynamic	0xC
GameTagBase	m_tumble	0xD
GameTagBase	m_inheritSpawnersVelocity	0xE
GameTagBase	m_vSpeed	0x10
GameTagBase	m_vSpeedRandomness	0x14
GameTagBase	m_hSpeed	0x18
GameTagBase	m_hSpeedRandomness	0x1C
GameplayCameraGenerator	m_groupName	0x10
GameplayCameraGenerator	m_tagZone	0x14
GameplayCameraGenerator	m_tagTransform	0x18
GameplayCameraGenerator	m_illuminationColorDW	0x4C
GameplayCameraGenerator	m_snapToGround	0x50
GameplayCameraGenerator	m_isInProxyZone	0x51
GameplayCameraGenerator	m_startsInPurgatory	0x52
GameplayCameraGenerator	m_castLightmapShadows	0x53
GameplayCameraGenerator	m_scriptResource	0x54
GameplayCameraGenerator	m_scriptArgs	0x58
GameplayCameraGenerator	m_originalTagFile	0x5C
GameplayCameraGenerator	m_spline	0x64
GameplayCameraGenerator	m_minDist	0x90
GameplayCameraGenerator	m_maxDist	0x94
GameplayCameraGenerator	m_zeroFieldChart	0x98
GameplayCameraGenerator	m_maxFieldChart	0xA0
GameplayCameraGenerator	m_paramLineStart	0xAC
GameplayCameraGenerator	m_paramLineEnd	0xB8
GeoParticleSystem	m_useVelocityAxis	0x1AC
GeoParticleSystem	m_startFadePercent	0x1B0
GeometryInst	m_reflectionMappedStartFade	0x10
GeometryInst	m_reflectionMappedEndFade	0x14
GeometryInst	m_normalMappedStartFade	0x18
GeometryInst	m_normalMappedEndFade	0x1C
GeometryInst	m_detailMappedStartFade	0x20
GeometryInst	m_detailMappedEndFade	0x24
GeometryInst	m_phasedStartFade	0x28
GeometryInst	m_phasedEndFade	0x2C
GeometryInst	m_phasedGlowScale	0x30
GeometryInst	m_phasedScrollVelocityX	0x34
GeometryInst	m_phasedScrollVelocityY	0x38
GeometryInst	m_transparentZWriteAlphaRef	0x3C
GeometryInst	m_edgeBurnThickness	0x40
GeometryInst	m_edgeBurnColor	0x44
GeometryInst	m_useOldShadowTechnique	0x48
GeometryInst	m_baseShadowOffset	0x4C
GlobalMotionPrefs	m_minRamDamage	0x10
GlobalMotionPrefs	m_maxRamDamage	0x14
GlobalMotionPrefs	m_npcRamDamage	0x18
GlobalMotionPrefs	m_airControlLo	0x20
GlobalMotionPrefs	m_airControlHi	0x24
GlobalMotionPrefs	m_knockZRatioSource	0x28
GlobalMotionPrefs	m_knockRammedScale	0x2C
GlobalMotionPrefs	m_knockNotRammedScale	0x30
GlobalMotionPrefs	m_knockZRatioDest	0x34
GlobalMotionPrefs	m_knockZRatioBoost	0x38
GlobalMotionPrefs	m_ramDamageDeadzoneFraction	0x3C
GlobalMotionPrefs	m_ramElasticityMin	0x40
GlobalMotionPrefs	m_ramElasticityMax	0x44
GlobalMotionPrefs	m_ramMinVel	0x48
GlobalMotionPrefs	m_knockbackCollisionVelocity	0x4C
GlobalMotionPrefs	m_knockbackElasticity	0x50
GlobalMotionPrefs	m_strafeBackwardsFraction	0x54
GlobalMotionPrefs	m_strafeSidewaysFraction	0x58
GlobalMotionPrefs	m_strafeSpeedScaleAccel	0x5C
GlobalMotionPrefs	m_strafeSpeedScaleDecel	0x60
GlobalMotionPrefs	m_velocityForFallFar	0x64
GlobalMotionPrefs	m_gravityForFall	0x68
GlobalMotionPrefs	m_gravityForEnergy	0x6C
GlobalMotionPrefs	m_adjustVelocityVelDifferenceAt30fps	0x70
GlobalMotionPrefs	m_fallDamageBase	0x74
GlobalMotionPrefs	m_fallDamagePerMeter	0x78
GlobalMotionPrefs	m_fallStaminaBase	0x7C
GlobalMotionPrefs	m_fallStaminaPerMeter	0x80
GlobalMotionPrefs	m_timeToDrown	0x84
GlobalMotionPrefs	m_bouyancyTime	0x88
GlobalMotionPrefs	m_turnTo1stPersonDuration_Facing	0x8C
GlobalMotionPrefs	m_turnTo1stPersonDuration_Opposing	0x90
GlobalMotionPrefs	m_turnTo1stPersonDuration_Pause	0x94
GlobalMotionPrefs	m_anim_jumpLandInitialWeight	0x98
GlobalMotionPrefs	m_anim_idleToWalkBlendTime	0x9C
GlobalMotionPrefs	m_anim_walkInternalBlendTime	0xA0
GlobalMotionPrefs	m_endurance_RamToStop	0xA4
GlobalMotionPrefs	m_maxVelocityForBackwards	0xA8
GlobalMotionPrefs	m_velocityToBounceOffWall	0xAC
GlobalMotionPrefs	m_heightForSlam	0xB0
GlobalMotionPrefs	m_heightForNPCKnock	0xB4
GlobalMotionPrefs	m_fracWalkTrotTransition	0xB8
GlobalMotionPrefs	m_fracTrotCanterTransition	0xBC
GlobalMotionPrefs	m_fracCanterRunTransitionBeast	0xC0
GlobalMotionPrefs	m_fracCanterRunTransitionStranger	0xC4
GlobalMotionPrefs	m_walkDoTurnAround	0xC8
GlobalMotionPrefs	m_walkDoSkidToStop	0xC9
GlobalMotionPrefs	m_turnAroundCos	0xCC
GloktigiPrefs	m_damageWindowMaxGap	0x0
GloktigiPrefs	m_gloktigiDamageDurationBeforePhase	0x4
GloktigiPrefs	m_geoToAttach	0x4
GloktigiPrefs	m_gloktigiDamageAmountBeforePhase	0x8
GloktigiPrefs	m_gloktigiDamageAmountBleedTime	0xC
GloktigiPrefs	m_gloktigiDamageAmountBleedDelay	0x10
GloktigiPrefs	m_gloktigiPhaseGeo	0x10
GloktigiPrefs	m_gloktigiPhaseMinDist	0x14
GloktigiPrefs	m_otherGloktigiCheckDist	0x14
GloktigiPrefs	m_gloktigiPhaseMaxDist	0x18
GloktigiPrefs	m_meleeDisableTime	0x18
GloktigiPrefs	m_gloktigiPhaseSpeed	0x1C
GloktigiPrefs	m_gloktigiAlone	0x1C
GloktigiPrefs	m_gloktigiPhaseMinDistFromPlayer	0x20
GloktigiPrefs	m_gloktigiPhaseMinDistFromOtherGloktigi	0x24
GloktigiPrefs	m_gloktigiGroup	0x44
GloktigiPrefs	m_glokPhaseBeginSndPref	0x6C
GloktigiPrefs	m_glokPhaseBeginRmbPref	0x70
GloktigiPrefs	m_glokPhaseBeginFXPref	0x74
GloktigiPrefs	m_glokPhaseBeginFXUseAllFXBones	0x78
GloktigiPrefs	m_glokPhaseDuringSndPref	0x7C
GloktigiPrefs	m_glokPhaseDuringRmbPref	0x80
GloktigiPrefs	m_glokPhaseDuringFXPref	0x84
GloktigiPrefs	m_glokPhaseDuringFXUseAllFXBones	0x88
GloktigiPrefs	m_glokPhaseEndSndPref	0x8C
GloktigiPrefs	m_glokPhaseEndRmbPref	0x90
GloktigiPrefs	m_glokPhaseEndFXPref	0x94
GloktigiPrefs	m_glokPhaseEndFXUseAllFXBones	0x98
InstancedObjectTag	m_modelToken	0x60
InstancedObjectTag	m_lightmapID	0x64
InstancedObjectTag	m_lmInfo	0x68
JobTag	m_major	0x60
JobTag	m_minor	0x64
JobTag	m_checkEverySeconds	0x68
JobTag	m_relax	0x6C
JobTag	m_restrictToLeader	0x74
JobTag	m_restrictToSpecificGuy	0x78
JobTag	m_restrictToGuyType	0x7C
JobTag	m_restrictToBrainState	0x80
JobTag	m_dependOnGlobalVar	0x84
JobTag	m_globalVarValue	0x88
JobTag	m_closestNavPointZone	0x8C
JobTag	m_closestNavPointIndex	0x90
LaserBeam	m_laserChargingSource_FXPref	0x10
LaserBeam	m_laserChargingSource_FXUseRadialPositions	0x18
LaserBeam	m_laserChargingSource_FXRadiusScale	0x1C
LaserBeam	m_laserFiringSource_FXPref	0x20
LaserBeam	m_laserFiringSource_FXUseRadialPositions	0x28
LaserBeam	m_laserFiringSource_FXDegreesForwards	0x2C
LaserBeam	m_laserFiringSource_FXRadiusScale	0x30
LaserBeam	m_laserFiringTarget_FXPref	0x34
LaserBeam	m_laserFiringTarget_FXUseRadialPositions	0x3C
LaserBeam	m_laserFiringTarget_FXDegreesBackwards	0x40
LaserBeam	m_laserFiringTarget_FXRadiusScale	0x44
LaserBeam	m_laserFiringSource_GlareFXPref	0x48
LaserBeam	m_numRadialFXPositions	0x50
LaserBeam	m_innerBeamColor_StartFire	0x54
LaserBeam	m_innerBeamColor_MidFire	0x58
LaserBeam	m_innerBeamColor_EndFire	0x5C
LaserBeam	m_innerBeamTextureName	0x60
LaserBeam	m_innerBeamScrollSpeed	0x68
LaserBeam	m_innerBeamRadiusScale	0x6C
LaserBeam	m_innerBeamRotationRateDegrees	0x70
LaserBeam	m_innerBeamTextureScale	0x74
LaserBeam	m_innerBeamGlare	0x78
LaserBeam	m_innerBeamShrinkWithTime	0x79
LaserBeam	m_midBeamColor_StartFire	0x7C
LaserBeam	m_midBeamColor_MidFire	0x80
LaserBeam	m_midBeamColor_EndFire	0x84
LaserBeam	m_midBeamTextureName	0x88
LaserBeam	m_midBeamScrollSpeed	0x90
LaserBeam	m_midBeamRadiusScale	0x94
LaserBeam	m_midBeamRotationRateDegrees	0x98
LaserBeam	m_midBeamTextureScale	0x9C
LaserBeam	m_midBeamGlare	0xA0
LaserBeam	m_midBeamShrinkWithTime	0xA1
LaserBeam	m_outerBeamColor_StartFire	0xA4
LaserBeam	m_outerBeamColor_MidFire	0xA8
LaserBeam	m_outerBeamColor_EndFire	0xAC
LaserBeam	m_outerBeamTextureName	0xB0
LaserBeam	m_outerBeamScrollSpeed	0xB8
LaserBeam	m_outerBeamRadiusScale	0xBC
LaserBeam	m_outerBeamRotationRateDegrees	0xC0
LaserBeam	m_outerBeamTextureScale	0xC4
LaserBeam	m_outerBeamGlare	0xC8
LaserBeam	m_outerBeamShrinkWithTime	0xC9
LevelListPrefs	m_paths	0x10
LevelListPrefs	m_displayNames	0x1C
Level_HalfVectorCubemap	m_velocity	0x0
Level_HalfVectorCubemap	m_angle	0x8
LightmapperLMInfoTag	m_packedResource	0x0
LightmapperLMInfoTag	m_packingInfo	0x4
LightmapperLMInfoTag	m_infos	0x8
MechanicalPrefs	m_mechSubType	0x10
MechanicalPrefs	m_subTypePrefsID	0x14
MechanicalPrefs	m_stateCount	0x18
MechanicalPrefs	m_cyclical	0x1C
MechanicalPrefs	m_animsReversible	0x1D
MechanicalPrefs	m_animsInterruptable	0x1E
MechanicalPrefs	m_idlesArePoses	0x1F
MechanicalPrefs	m_animReverseTime	0x20
MechanicalPrefs	m_animBlendTime	0x24
MechanicalPrefs	m_registerModelDependency	0x2D
MechanicalPrefs	m_modelName	0x30
MechanicalPrefs	m_anims	0x34
MechanicalPrefs	m_activateForever	0x40
MechanicalPrefs	m_activateTogglesActive	0x41
MechanicalPrefs	m_exitIdleOnlyAtEnd	0x42
MechanicalPrefs	m_damageStartsOn	0x43
MechanicalPrefs	m_interactionResetTime	0x44
MechanicalPrefs	m_visibilityResetTime	0x48
MechanicalPrefs	m_turretHealth	0x54
MechanicalPrefs	m_turretCenterOffset	0x58
MechanicalPrefs	m_turretRadius	0x5C
MechanicalPrefs	m_turretMaxHoldOnTarget	0x60
MechanicalPrefs	m_turretMinSwitchTime	0x64
MechanicalPrefs	m_turretMaxSwitchTime	0x68
MechanicalPrefs	m_turretRotationLimitDegrees	0x6C
MechanicalPrefs	m_turretRotationSpeedDegrees	0x70
MechanicalPrefs	m_turretDeleteOnDeath	0x74
MechanicalPrefs	m_fxOnDamage	0x78
MechanicalPrefs	m_fxOnDeath	0x7C
MechanicalPrefs	m_sndOnDeath	0x80
MechanicalPrefs	m_fxWhileDamaged1	0x84
MechanicalPrefs	m_fxWhileDamaged2	0x88
MechanicalPrefs	m_sndIdle	0x9C
MechanicalPrefs	m_idleDuringTransitions	0xA4
MechanicalPrefs	m_sndTurretMove	0xA8
MechanicalPrefs	m_fireRateDeviation	0xB8
MotionImplDummy	m_bipedTurnSpeedDegrees	0xC
MotionImplDummy	m_bipedTurnSpeedDegrees_Panic	0x10
MotionImplDummy	m_jumpHeightMin	0x14
MotionImplDummy	m_jumpHeightMax	0x18
MotionImplDummy	m_jumpHeightSpeedScale	0x1C
MotionImplDummy	m_maxRadiansToRotateHiSpeed	0x20
MotionImplDummy	m_maxRadiansToRotateBasic	0x24
MotionImplDummy	m_maxRadiansToRotateLoSpeed	0x28
MotionImplDummy	m_waterOffset	0x30
MotionImplDummy	m_waterVelocityScale	0x34
MotionImplDummy	m_timeTillIdle1	0x38
MotionImplDummy	m_timeTillIdle2	0x3C
MotionImplDummy	m_skidToStopTrotCanterLerper	0x40
MotionImplDummy	m_skidToStopCanterRunLerper	0x44
MotionImplDummy	m_gameSpeakTalkRestInterval	0x48
MotionImplDummy	m_accelLo_Walk	0x50
MotionImplDummy	m_accelHi_Walk	0x54
MotionImplDummy	m_accelLo_Trot	0x58
MotionImplDummy	m_accelHi_Trot	0x5C
MotionImplDummy	m_accelLo_Canter	0x60
MotionImplDummy	m_accelHi_Canter	0x64
MotionImplDummy	m_accelLo_Run	0x68
MotionImplDummy	m_accelHi_Run	0x6C
MotionImplDummy	m_steefVelDriveSpeedUp	0x70
MotionImplDummy	m_steefVelDriveSpeedDown	0x74
MotionImplDummy	m_overVel_Walk	0x78
MotionImplDummy	m_overVel_Trot	0x7C
MotionImplDummy	m_overVel_Canter	0x80
MotionImplDummy	m_overVel_Run	0x84
MotionImplDummy	m_canBePushed	0x88
MotionImplDummy	m_canBeKnocked	0x89
MotionImplDummy	m_onlyStands	0x8A
MovieListPrefs	m_movieFileNames	0x10
MovieListPrefs	m_radarFadeInDuration	0x20
MovieListPrefs	m_radarFadeOutDuration	0x24
MovieListPrefs	m_radarX	0x28
MovieListPrefs	m_radarY	0x2C
MovieListPrefs	m_radarSize	0x30
MovieListPrefs	m_overlaySize	0x34
MovieListPrefs	m_radarRadius	0x3C
MovieListPrefs	m_radarZoneTraversalLimit	0x40
MovieListPrefs	m_sightConeFadeFactor	0x44
MovieListPrefs	m_hiddenTextPos	0x48
MovieListPrefs	m_radarColor	0x64
MovieListPrefs	m_turretColor	0x68
MovieListPrefs	m_playerSightConeColor	0x6C
MovieListPrefs	m_deadGuyColor	0x70
MovieListPrefs	m_inHideZoneRadarColor	0x74
MovieListPrefs	m_combatBlipColor	0x78
MovieListPrefs	m_combatConeColor	0x7C
MovieListPrefs	m_normalBlipColor	0x80
MovieListPrefs	m_normalConeColor	0x84
MovieListPrefs	m_playerPointColor	0x88
MovieListPrefs	m_ringAroundTheRadarColor	0x8C
MovieListPrefs	m_hideTextColor	0x90
MovieListPrefs	m_hideIconX	0x94
MovieListPrefs	m_hideIconY	0x98
MovieListPrefs	m_hideIconWidth	0x9C
MovieListPrefs	m_hideIconHeight	0xA0
MovieListPrefs	m_hideIconColor	0xA4
MovieListPrefs	m_hideIconName	0xA8
MovieListPrefs	m_spottedIconX	0xAC
MovieListPrefs	m_spottedIconY	0xB0
MovieListPrefs	m_spottedIconWidth	0xB4
MovieListPrefs	m_spottedIconHeight	0xB8
MovieListPrefs	m_spottedIconColor	0xBC
MovieListPrefs	m_spottedIconName	0xC0
MovieListPrefs	m_staminaIconX	0xC4
MovieListPrefs	m_staminaIconY	0xC8
MovieListPrefs	m_staminaIconWidth	0xCC
MovieListPrefs	m_staminaIconHeight	0xD0
MovieListPrefs	m_drawRingAroundTheRadar	0x14C
MovieListPrefs	m_drawSpottedIcon	0x14F
MovieListPrefs	m_drawHideIcon	0x150
MovieListPrefs	m_drawHideText	0x151
MovieListPrefs	m_damageFlashDuration	0x170
MovieListPrefs	m_damageIconSize	0x174
MovieListPrefs	m_radarPointSize	0x178
MovieListPrefs	m_playerPointSize	0x17C
MovieListPrefs	m_healthBarAttributes	0x1BC
MovieListPrefs	m_staminaBarAttributes	0x248
MovieListPrefs	m_tagProgressBarAttributes	0x2D4
MovieListPrefs	m_healthBarAttributesInvincible	0x360
MovieListPrefs	m_bossHealthBarAttributes	0x3EC
MovieListPrefs	m_bossStaminaBarAttributes	0x478
NPCPrefs	m_spActorPrefs	0x10
NPCPrefs	m_aiLowDetail	0x28
NPCPrefs	m_aiHighDetail	0x2C
NPCPrefs	m_attachments	0x48
NPCPrefs	m_spMotionPrefs	0x8C
NPCPrefs	m_spAIPrefs	0x118
NPCPrefs	m_geometry	0x438
NPCPrefs	m_icon	0x43C
NPCPrefs	m_geoScaleMin	0x440
NPCPrefs	m_geoScaleMax	0x444
NPCPrefs	m_health	0x448
NPCPrefs	m_stamina	0x44C
NPCPrefs	m_healthRecoverTime	0x450
NPCPrefs	m_staminaRecoverTime	0x454
NPCPrefs	m_exhaustTime	0x458
NPCPrefs	m_exhaustedRecoverMultiplier	0x45C
NPCPrefs	m_onDeathGib	0x460
NPCPrefs	m_allowOnDeathGibFromBolts	0x461
NPCPrefs	m_onGibSpawnNPC	0x464
NPCPrefs	m_fuzzleShakeOffTime	0x468
NPCPrefs	m_fuzzleFlopFrequency	0x46C
NPCPrefs	m_fuzzleFleeRadius	0x470
NPCPrefs	m_armadilloKnocks	0x474
NPCPrefs	m_armadilloDamageMultiplier	0x478
NPCPrefs	m_spiderImmobilizeMultiplier	0x47C
NPCPrefs	m_autoAimRadius	0x480
NPCPrefs	m_hurtReaction	0x484
NPCPrefs	m_waveBank	0x488
NPCPrefs	m_audioName	0x48C
NPCPrefs	m_bountyCategory	0x490
NPCPrefs	m_meleeWeapon	0x494
NPCPrefs	m_rangedWeapon	0x498
NPCPrefs	m_instanceOverrides	0x49C
NPCPrefs	m_canBeBountied	0x4A0
NPCPrefs	m_captureMoolah	0x4A4
NPCPrefs	m_killMoolah	0x4A8
NPCPrefs	m_bountyAmmoBoost	0x4AC
NPCPrefs	m_bountyEnduranceBoost	0x4B0
NPCPrefs	m_steefSpeakCue	0x4B4
NPCPrefs	m_replySteef	0x4B8
NPCPrefs	m_replyStranger	0x4C0
NPCPrefs	m_insultCue	0x4C8
NPCPrefs	m_insultResponseCue	0x4CC
NPCPrefs	m_affGenerally	0x4E8
NPCPrefs	m_affList	0x4EC
NPCPrefs	m_respondsToDamageDynamite	0x4F8
NPCPrefs	m_respondsToImmobilizeSkunkBomb	0x4F9
NPCPrefs	m_respondsToImmobilizeSpiderBola	0x4FA
NPCPrefs	m_respondsToTrapFuzzle	0x4FB
NPCPrefs	m_collectableSpawnLimit	0x4FC
NPCPrefs	m_onDamageCollectableSpawner	0x500
NPCPrefs	m_onExhaustCollectableSpawner	0x504
NPCPrefs	m_onDeathCollectableSpawner	0x508
NPCPrefs	m_onSteefRamAliveCollectableSpawner	0x50C
NPCPrefs	m_onStrangerRamAliveCollectableSpawner	0x510
NPCPrefsRare	m_bombBatDamageMultiplier	0x10
NPCPrefsRare	m_bombBatStaminaMultiplier	0x14
NPCPrefsRare	m_playerMeleeKnocks	0x18
NPCPrefsRare	m_playerMeleeReturnKnockback	0x1C
NPCPrefsRare	m_playerMeleeReturnDamage	0x20
NPCPrefsRare	m_playerMeleeReturnDamageDestructable	0x24
NPCPrefsRare	m_playerMeleeReturnStamina	0x28
NPCPrefsRare	m_playerMeleeReturnExhaustRecoverTime	0x2C
NPCPrefsRare	m_armadilloStaminaMultiplier	0x30
NPCPrefsRare	m_skunkBombImmobilizeMultiplier	0x34
NPCPrefsRare	m_bumpAnnoyanceTimeout	0x38
NPCPrefsRare	m_bountyableDuringImmobilize	0x3C
NPCPrefsRare	m_glokPrefsName	0x40
NPCPrefsRare	m_forceFieldPrefsName	0x48
NPCPrefsRare	m_isTouchy	0x50
NPCPrefsRare	m_isTouchyIfRammed	0x51
NPCPrefsRare	m_useMotionSphereForBoltCollide	0x52
